"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-03-13","Afghanistan","阿富汗",7,0
"2020-03-13","Albania","阿尔巴尼亚",33,1
"2020-03-13","Algeria","阿尔及利亚",26,2
"2020-03-13","Andorra","安道尔",2,0
"2020-03-13","Antigua and Barbuda","安提瓜和巴布达",1,0
"2020-03-13","Argentina","阿根廷 ",34,2
"2020-03-13","Armenia","亚美尼亚",8,0
"2020-03-13","Australia","澳大利亚",197,3
"2020-03-13","Austria","奥地利",504,1
"2020-03-13","Azerbaijan","阿塞拜疆",19,0
"2020-03-13","Bahrain","巴林",210,0
"2020-03-13","Bangladesh","孟加拉国",3,0
"2020-03-13","Belarus","白俄罗斯",21,0
"2020-03-13","Belgium","比利时",599,0
"2020-03-13","Bhutan","不丹",1,0
"2020-03-13","Bolivia (Plurinational State of)","玻利维亚（多民族国）",3,0
"2020-03-13","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",11,0
"2020-03-13","Brazil","巴西",98,0
"2020-03-13","Brunei Darussalam","文莱达鲁萨兰国",25,0
"2020-03-13","Bulgaria","保加利亚",7,1
"2020-03-13","Burkina Faso","布基纳法索",2,0
"2020-03-13","Cambodia","柬埔寨",7,0
"2020-03-13","Cameroon","喀麦隆",2,0
"2020-03-13","Canada","加拿大",176,1
"2020-03-13","Cayman Islands","Cayman Islands",1,0
"2020-03-13","Chile","智利",43,0
"2020-03-13","China","中国",81021,3194
"2020-03-13","Colombia","哥伦比亚",16,0
"2020-03-13","Costa Rica","哥斯达黎加",23,0
"2020-03-13","Cote d Ivoire","科特迪瓦",1,0
"2020-03-13","Croatia","克罗地亚",27,0
"2020-03-13","Cuba","古巴",4,0
"2020-03-13","Cyprus","塞浦路斯",14,0
"2020-03-13","Czech Republic","捷克",150,0
"2020-03-13","Democratic Republic of the Congo","刚果民主共和国",2,0
"2020-03-13","Denmark","丹麦",801,0
"2020-03-13","Dominican Republic","多米尼加 ",5,0
"2020-03-13","Ecuador","厄瓜多尔",23,0
"2020-03-13","Egypt","埃及",93,2
"2020-03-13","Estonia","爱沙尼亚",79,0
"2020-03-13","Faroe Islands","Faroe Islands",3,0
"2020-03-13","Finland","芬兰",109,0
"2020-03-13","France","法国",3640,79
"2020-03-13","French Guiana","French Guiana",6,0
"2020-03-13","French Polynesia","French Polynesia",1,0
"2020-03-13","Georgia","格鲁吉亚",25,0
"2020-03-13","Germany","德国",3062,6
"2020-03-13","Gibraltar","Gibraltar",1,0
"2020-03-13","Greece","希腊",190,1
"2020-03-13","Guadeloupe","Guadeloupe",1,0
"2020-03-13","Guernsey","Guernsey",1,0
"2020-03-13","Guyana","圭亚那",6,1
"2020-03-13","Holy See","Holy See",1,0
"2020-03-13","Honduras","洪都拉斯",2,0
"2020-03-13","Hungary","匈牙利",25,0
"2020-03-13","Iceland","冰岛",61,0
"2020-03-13","India","印度",82,2
"2020-03-13","Indonesia","印度尼西亚",69,3
"2020-03-13","International conveyance (Diamond Princess)","International conveyance (Diamond Princess)",697,7
"2020-03-13","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",11364,514
"2020-03-13","Iraq","伊拉克",93,9
"2020-03-13","Ireland","爱尔兰",90,1
"2020-03-13","Israel","以色列",100,0
"2020-03-13","Italy","意大利",17660,1268
"2020-03-13","Jamaica","牙买加",7,0
"2020-03-13","Japan","日本",716,21
"2020-03-13","Jersey","Jersey",2,0
"2020-03-13","Jordan","约旦",1,0
"2020-03-13","Kuwait","科威特",100,0
"2020-03-13","Latvia","拉脱维亚",16,0
"2020-03-13","Lebanon","黎巴嫩",77,4
"2020-03-13","Liechtenstein","Liechtenstein",4,0
"2020-03-13","Lithuania","立陶宛",6,0
